timestamp,machine_id,machine_nom,machine_type,v_rms_mm_s,a_rms_g,a_peak_g,deplacement_pp_microns,vitesse_rotation_rpm,temperature_c,zone_iso_calculee,statut_alarme,crest_factor,facteur_k,facteur_fd,kurtosis,bpfo_freq_hz,bpfi_freq_hz,bsf_freq_hz,ftf_freq_hz,bpfo_amplitude,bpfi_amplitude,bsf_amplitude,puissance_kw,cout_horaire_arret_eur,bearing_ref
2026-04-14 00:00:00,P-204,Pompe centrifuge HP,pompe_centrifuge,1.157,2.293,6.778,1329.8,2979,48.1,A,normal,3.47,2.68,1.72,2.27,177.25,269.6,118.17,19.71,0.13362,0.07585,0.05144,250,4200,SKF 6314
2026-04-14 00:00:00,C-118,Compresseur à vis,compresseur,3.099,5.546,17.064,3348.0,1485,62.7,B,normal,3.45,7.13,1.95,2.59,97.02,150.48,63.36,9.7,0.18143,0.11376,0.06735,500,6800,SKF 7314
2026-04-14 00:00:00,V-302,Ventilateur tirage,ventilateur,0.414,1.008,3.555,697.5,975,40.4,A,normal,3.59,0.99,1.5,2.33,67.92,94.58,44.04,6.79,0.13699,0.08054,0.04883,75,1800,SKF 22216
2026-04-14 00:00:00,M-019,Moteur électrique 400kW,moteur_electrique,5.655,9.964,29.515,5790.8,1487,64.9,C,alerte,3.78,14.25,2.5,4.15,89.96,133.09,59.98,9.99,0.18158,0.03599,0.03827,400,5500,SKF 6320
2026-04-14 00:00:00,R-077,Réducteur convoyeur,reducteur,1.628,2.771,9.075,1780.5,713,43.6,A,normal,3.41,3.7,1.88,2.37,52.52,66.31,35.06,5.25,0.12793,0.09139,0.05161,55,950,SKF 2312
2026-04-14 00:00:00,P-311,Pompe centrifuge BP,pompe_centrifuge,9.643,17.582,52.168,10235.4,2960,66.7,D,danger,3.62,23.25,1.48,4.27,175.13,268.87,116.43,19.49,0.11412,0.0244,0.07563,180,3100,SKF 6312
2026-04-14 01:00:00,P-204,Pompe centrifuge HP,pompe_centrifuge,1.5,2.691,9.636,1890.6,2986,49.8,A,normal,4.02,4.02,1.83,3.0,177.67,270.23,118.44,19.76,0.14672,0.07302,0.04557,250,4200,SKF 6314
2026-04-14 01:00:00,C-118,Compresseur à vis,compresseur,2.077,3.574,10.219,2005.0,1488,59.3,A,normal,4.14,5.73,1.48,3.31,97.22,150.78,63.49,9.72,0.11543,0.08476,0.05511,500,6800,SKF 7314
2026-04-14 01:00:00,V-302,Ventilateur tirage,ventilateur,1.293,2.328,8.812,1728.9,984,41.7,A,normal,3.91,3.37,1.41,3.36,68.55,95.45,44.44,6.86,0.13052,0.07243,0.0515,75,1800,SKF 22216
2026-04-14 01:00:00,M-019,Moteur électrique 400kW,moteur_electrique,4.354,8.443,24.841,4873.8,1489,61.2,B,normal,3.09,8.98,1.68,3.84,90.08,133.27,60.06,10.0,0.10441,0.07676,0.04148,400,5500,SKF 6320
2026-04-14 01:00:00,R-077,Réducteur convoyeur,reducteur,1.017,2.041,7.141,1401.1,720,43.9,A,normal,3.43,2.33,2.45,3.52,53.04,66.96,35.4,5.3,0.12118,0.07885,0.0544,55,950,SKF 2312
2026-04-14 01:00:00,P-311,Pompe centrifuge BP,pompe_centrifuge,6.467,11.458,35.071,6880.9,2961,60.0,C,alerte,3.58,15.42,1.96,4.33,175.19,268.96,116.47,19.49,0.2522,0.07321,0.06503,180,3100,SKF 6312
2026-04-14 02:00:00,P-204,Pompe centrifuge HP,pompe_centrifuge,1.378,2.595,7.786,1527.6,2976,50.5,A,normal,2.63,2.41,2.01,4.57,177.07,269.33,118.05,19.69,0.1367,0.08797,0.04968,250,4200,SKF 6314
2026-04-14 02:00:00,C-118,Compresseur à vis,compresseur,2.942,5.896,17.555,3444.3,1474,60.7,B,normal,3.15,6.18,1.89,4.49,96.3,149.37,62.89,9.63,0.1466,0.06902,0.05194,500,6800,SKF 7314
2026-04-14 02:00:00,V-302,Ventilateur tirage,ventilateur,1.626,2.916,9.867,1935.9,970,45.0,A,normal,3.62,3.92,1.89,4.52,67.58,94.09,43.81,6.76,0.14447,0.0774,0.05352,75,1800,SKF 22216
2026-04-14 02:00:00,M-019,Moteur électrique 400kW,moteur_electrique,4.449,8.201,22.754,4464.3,1484,60.0,B,normal,3.91,11.61,2.26,3.47,89.78,132.82,59.85,9.97,0.10393,0.09358,0.03753,400,5500,SKF 6320
2026-04-14 02:00:00,R-077,Réducteur convoyeur,reducteur,1.552,2.784,8.848,1736.0,737,44.3,A,normal,3.3,3.41,2.49,3.41,54.29,68.54,36.24,5.43,0.13094,0.10125,0.05288,55,950,SKF 2312
2026-04-14 02:00:00,P-311,Pompe centrifuge BP,pompe_centrifuge,7.11,12.909,39.521,7754.0,2962,58.1,D,danger,3.97,18.83,2.2,4.54,175.25,269.05,116.51,19.5,0.17669,0.09592,0.04624,180,3100,SKF 6312
2026-04-14 03:00:00,P-204,Pompe centrifuge HP,pompe_centrifuge,1.362,2.563,9.063,1778.2,2976,48.4,A,normal,3.16,2.87,1.62,3.22,177.07,269.33,118.05,19.69,0.14966,0.08111,0.05524,250,4200,SKF 6314
2026-04-14 03:00:00,C-118,Compresseur à vis,compresseur,3.35,6.156,17.854,3503.0,1487,59.7,B,normal,3.83,8.56,1.23,4.7,97.15,150.68,63.45,9.72,0.17071,0.07337,0.04638,500,6800,SKF 7314
2026-04-14 03:00:00,V-302,Ventilateur tirage,ventilateur,1.671,2.391,7.789,1528.2,989,47.3,A,normal,4.05,4.51,1.88,2.1,68.9,95.93,44.67,6.89,0.14915,0.08757,0.04008,75,1800,SKF 22216
2026-04-14 03:00:00,M-019,Moteur électrique 400kW,moteur_electrique,4.704,8.26,25.299,4963.7,1491,62.1,C,alerte,3.38,10.61,2.33,3.77,90.21,133.44,60.14,10.01,0.20559,0.09377,0.06419,400,5500,SKF 6320
2026-04-14 03:00:00,R-077,Réducteur convoyeur,reducteur,1.529,2.494,6.731,1320.6,719,44.5,A,normal,2.99,3.05,2.06,2.79,52.97,66.87,35.35,5.3,0.11341,0.08418,0.05482,55,950,SKF 2312
